StockCode,YearMonth,Quantity,Revenue,Month,Year,Quantity_lag1,Quantity_lag2,Quantity_rolling3
10002,2010-03-01,641,493.0899999999999,3,2010,257.0,291.0,254.33333333333334
10002,2010-04-01,932,699.73,4,2010,641.0,257.0,396.3333333333333
10002,2010-05-01,464,436.6400000000001,5,2010,932.0,641.0,610.0
10002,2010-06-01,453,395.69999999999993,6,2010,464.0,932.0,679.0
10002,2010-07-01,512,416.48999999999995,7,2010,453.0,464.0,616.3333333333334
10002,2010-08-01,574,439.95,8,2010,512.0,453.0,476.3333333333333
10002,2010-09-01,240,213.71999999999994,9,2010,574.0,512.0,513.0
10002,2010-10-01,1045,793.97,10,2010,240.0,574.0,442.0
10002,2010-11-01,964,755.19,11,2010,1045.0,240.0,619.6666666666666
10002,2010-12-01,251,234.41,12,2010,964.0,1045.0,749.6666666666666
10002,2011-01-01,340,291.36999999999995,1,2011,251.0,964.0,753.3333333333334
10002,2011-02-01,52,45.76,2,2011,340.0,251.0,518.3333333333334
10002,2011-03-01,28,27.700000000000003,3,2011,52.0,340.0,214.33333333333334
10002,2011-04-01,189,160.65,4,2011,28.0,52.0,140.0
10080,2010-11-01,1,0.85,11,2010,6.0,1.0,3.6666666666666665
10080,2011-02-01,2,1.7,2,2011,1.0,6.0,2.6666666666666665
10080,2011-06-01,60,23.4,6,2011,2.0,1.0,3.0
10080,2011-07-01,24,9.36,7,2011,60.0,2.0,21.0
10080,2011-08-01,60,23.4,8,2011,24.0,60.0,28.666666666666668
10080,2011-09-01,60,23.4,9,2011,60.0,24.0,48.0
10080,2011-10-01,6,2.34,10,2011,60.0,60.0,48.0
10080,2011-11-01,91,35.489999999999995,11,2011,6.0,60.0,42.0
10120,2010-03-01,38,7.9799999999999995,3,2010,5.0,32.0,50.666666666666664
10120,2010-04-01,60,12.6,4,2010,38.0,5.0,25.0
10120,2010-05-01,4,0.84,5,2010,60.0,38.0,34.333333333333336
10120,2010-06-01,30,6.3,6,2010,4.0,60.0,34.0
10120,2010-07-01,3,0.63,7,2010,30.0,4.0,31.333333333333332
10120,2010-09-01,9,1.8900000000000001,9,2010,3.0,30.0,12.333333333333334
10120,2010-10-01,71,14.91,10,2010,9.0,3.0,14.0
10120,2010-11-01,75,15.75,11,2010,71.0,9.0,27.666666666666668
10120,2010-12-01,16,3.36,12,2010,75.0,71.0,51.666666666666664
10120,2011-02-01,30,6.3,2,2011,16.0,75.0,54.0
10120,2011-03-01,28,5.88,3,2011,30.0,16.0,40.333333333333336
10120,2011-05-01,3,0.63,5,2011,28.0,30.0,24.666666666666668
10120,2011-07-01,5,1.05,7,2011,3.0,28.0,20.333333333333332
10120,2011-08-01,35,7.35,8,2011,5.0,3.0,12.0
10120,2011-09-01,10,2.1,9,2011,35.0,5.0,14.333333333333334
10120,2011-10-01,10,2.1,10,2011,10.0,35.0,16.666666666666668
10120,2011-11-01,49,10.29,11,2011,10.0,10.0,18.333333333333332
10120,2011-12-01,6,1.26,12,2011,49.0,10.0,23.0
10123C,2010-03-01,18,14.219999999999999,3,2010,7.0,30.0,59.666666666666664
10123C,2010-04-01,16,11.66,4,2010,18.0,7.0,18.333333333333332
10123C,2010-05-01,51,34.410000000000004,5,2010,16.0,18.0,13.666666666666666
10123C,2010-06-01,2,1.9300000000000002,6,2010,51.0,16.0,28.333333333333332
10123C,2010-07-01,3,1.9500000000000002,7,2010,2.0,51.0,23.0
10123C,2010-08-01,164,22.270000000000003,8,2010,3.0,2.0,18.666666666666668
10123C,2010-09-01,36,23.400000000000006,9,2010,164.0,3.0,56.333333333333336
10123C,2010-10-01,4,2.6,10,2010,36.0,164.0,67.66666666666667
10123C,2010-11-01,22,14.300000000000002,11,2010,4.0,36.0,68.0
10123C,2010-12-01,1,0.65,12,2010,22.0,4.0,20.666666666666668
10123C,2011-03-01,4,2.6,3,2011,1.0,22.0,9.0
10123G,2010-09-01,0,0.0,9,2010,1104.0,18.0,374.6666666666667
10123G,2010-10-01,2,1.3,10,2010,0.0,1104.0,374.0
10123G,2010-11-01,21,16.68,11,2010,2.0,0.0,368.6666666666667
10124A,2010-07-01,2,0.84,7,2010,3.0,1.0,2.3333333333333335
10124A,2010-08-01,5,2.1,8,2010,2.0,3.0,2.0
10124A,2010-09-01,21,8.82,9,2010,5.0,2.0,3.3333333333333335
10124A,2010-10-01,4,1.68,10,2010,21.0,5.0,9.333333333333334
10124A,2010-11-01,3,1.26,11,2010,4.0,21.0,10.0
10124A,2010-12-01,4,1.68,12,2010,3.0,4.0,9.333333333333334
10124A,2011-02-01,3,1.26,2,2011,4.0,3.0,3.6666666666666665
10124A,2011-03-01,5,2.1,3,2011,3.0,4.0,3.3333333333333335
10124A,2011-11-01,4,1.68,11,2011,5.0,3.0,4.0
10124G,2010-09-01,4,1.68,9,2010,5.0,3.0,3.3333333333333335
10124G,2010-10-01,2,0.84,10,2010,4.0,5.0,4.0
10124G,2010-12-01,5,2.1,12,2010,2.0,4.0,3.6666666666666665
10124G,2011-03-01,4,1.68,3,2011,5.0,2.0,3.6666666666666665
10124G,2011-09-01,4,1.68,9,2011,4.0,5.0,3.6666666666666665
10124G,2011-11-01,4,1.68,11,2011,4.0,4.0,4.333333333333333
10125,2010-03-01,110,112.94,3,2010,45.0,3.0,58.333333333333336
10125,2010-04-01,20,17.0,4,2010,110.0,45.0,52.666666666666664
10125,2010-05-01,20,17.0,5,2010,20.0,110.0,58.333333333333336
10125,2010-06-01,64,55.21,6,2010,20.0,20.0,50.0
10125,2010-07-01,105,89.25,7,2010,64.0,20.0,34.666666666666664
10125,2010-09-01,65,55.25,9,2010,105.0,64.0,63.0
10125,2010-10-01,120,103.62,10,2010,65.0,105.0,78.0
10125,2010-11-01,129,114.50999999999999,11,2010,120.0,65.0,96.66666666666667
10125,2010-12-01,154,90.86,12,2010,129.0,120.0,104.66666666666667
10125,2011-01-01,213,109.65000000000002,1,2011,154.0,129.0,134.33333333333334
10125,2011-03-01,114,98.46000000000001,3,2011,213.0,154.0,165.33333333333334
10125,2011-04-01,82,69.69999999999999,4,2011,114.0,213.0,160.33333333333334
10125,2011-05-01,107,90.94999999999999,5,2011,82.0,114.0,136.33333333333334
10125,2011-06-01,15,14.309999999999999,6,2011,107.0,82.0,101.0
10125,2011-07-01,176,150.38,7,2011,15.0,107.0,68.0
10125,2011-08-01,85,72.25,8,2011,176.0,15.0,99.33333333333333
10125,2011-09-01,210,178.5,9,2011,85.0,176.0,92.0
10125,2011-10-01,51,44.129999999999995,10,2011,210.0,85.0,157.0
10125,2011-11-01,62,52.7,11,2011,51.0,210.0,115.33333333333333
10125,2011-12-01,26,22.1,12,2011,62.0,51.0,107.66666666666667
10133,2010-03-01,41,39.709999999999994,3,2010,102.0,162.0,139.33333333333334
10133,2010-04-01,35,28.45,4,2010,41.0,102.0,101.66666666666667
10133,2010-05-01,86,76.66,5,2010,35.0,41.0,59.333333333333336
10133,2010-06-01,30,25.5,6,2010,86.0,35.0,54.0
10133,2010-07-01,72,61.2,7,2010,30.0,86.0,50.333333333333336
10133,2010-08-01,65,55.25,8,2010,72.0,30.0,62.666666666666664
10133,2010-09-01,47,43.19,9,2010,65.0,72.0,55.666666666666664
10133,2010-10-01,104,88.4,10,2010,47.0,65.0,61.333333333333336
10133,2010-11-01,73,64.47999999999999,11,2010,104.0,47.0,72.0
10133,2010-12-01,130,85.27,12,2010,73.0,104.0,74.66666666666667
10133,2011-01-01,180,113.84,1,2011,130.0,73.0,102.33333333333333
10133,2011-02-01,39,34.709999999999994,2,2011,180.0,130.0,127.66666666666667
10133,2011-03-01,83,70.55000000000001,3,2011,39.0,180.0,116.33333333333333
10133,2011-04-01,76,65.38,4,2011,83.0,39.0,100.66666666666667
10133,2011-05-01,33,28.05,5,2011,76.0,83.0,66.0
10133,2011-06-01,525,266.18,6,2011,33.0,76.0,64.0
10133,2011-07-01,820,412.45999999999987,7,2011,525.0,33.0,211.33333333333334
10133,2011-08-01,753,366.69000000000005,8,2011,820.0,525.0,459.3333333333333
10133,2011-09-01,207,92.27,9,2011,753.0,820.0,699.3333333333334
10134,2010-03-01,64,80.0,3,2010,33.0,215.0,100.33333333333333
10134,2010-04-01,9,11.25,4,2010,64.0,33.0,104.0
10134,2010-05-01,10,12.5,5,2010,9.0,64.0,35.333333333333336
10134,2010-06-01,17,21.25,6,2010,10.0,9.0,27.666666666666668
10134,2010-07-01,13,16.25,7,2010,17.0,10.0,12.0
10134,2010-08-01,142,152.8,8,2010,13.0,17.0,13.333333333333334
10134,2010-09-01,3,3.75,9,2010,142.0,13.0,57.333333333333336
10134,2010-10-01,28,35.0,10,2010,3.0,142.0,52.666666666666664
10134,2010-11-01,28,35.0,11,2010,28.0,3.0,57.666666666666664
10135,2010-03-01,101,127.50999999999999,3,2010,868.0,48.0,346.3333333333333
10135,2010-04-01,60,77.37,4,2010,101.0,868.0,339.0
10135,2010-05-01,133,147.25,5,2010,60.0,101.0,343.0
10135,2010-06-01,73,91.25,6,2010,133.0,60.0,98.0
10135,2010-07-01,53,66.25,7,2010,73.0,133.0,88.66666666666667
10135,2010-08-01,74,92.5,8,2010,53.0,73.0,86.33333333333333
10135,2010-09-01,45,58.769999999999996,9,2010,74.0,53.0,66.66666666666667
10135,2010-10-01,84,106.25999999999999,10,2010,45.0,74.0,57.333333333333336
10135,2010-11-01,325,397.3299999999999,11,2010,84.0,45.0,67.66666666666667
10135,2010-12-01,411,279.02,12,2010,325.0,84.0,151.33333333333334
10135,2011-01-01,613,487.38000000000005,1,2011,411.0,325.0,273.3333333333333
10135,2011-02-01,272,296.28999999999996,2,2011,613.0,411.0,449.6666666666667
10135,2011-03-01,118,98.91,3,2011,272.0,613.0,432.0
10135,2011-04-01,30,37.5,4,2011,118.0,272.0,334.3333333333333
10135,2011-05-01,13,22.3,5,2011,30.0,118.0,140.0
10135,2011-06-01,55,68.75,6,2011,13.0,30.0,53.666666666666664
10135,2011-07-01,177,221.25,7,2011,55.0,13.0,32.666666666666664
10135,2011-08-01,151,169.75,8,2011,177.0,55.0,81.66666666666667
10135,2011-09-01,70,99.59999999999998,9,2011,151.0,177.0,127.66666666666667
10135,2011-10-01,68,100.72999999999999,10,2011,70.0,151.0,132.66666666666666
10135,2011-11-01,181,225.01999999999998,11,2011,68.0,70.0,96.33333333333333
10135,2011-12-01,69,97.14,12,2011,181.0,68.0,106.33333333333333
10138,2010-03-01,13,5.46,3,2010,35.0,14.0,11.0
10138,2010-04-01,21,8.82,4,2010,13.0,35.0,20.666666666666668
11001,2010-03-01,52,91.22,3,2010,17.0,83.0,95.33333333333333
11001,2010-04-01,70,128.32,4,2010,52.0,17.0,50.666666666666664
11001,2010-05-01,105,177.44999999999996,5,2010,70.0,52.0,46.333333333333336
11001,2010-06-01,204,336.36,6,2010,105.0,70.0,75.66666666666667
11001,2010-07-01,48,81.12,7,2010,204.0,105.0,126.33333333333333
11001,2010-08-01,334,564.46,8,2010,48.0,204.0,119.0
11001,2010-09-01,157,267.0,9,2010,334.0,48.0,195.33333333333334
11001,2010-10-01,997,1485.0,10,2010,157.0,334.0,179.66666666666666
11001,2010-11-01,335,536.42,11,2010,997.0,157.0,496.0
11001,2010-12-01,73,136.73,12,2010,335.0,997.0,496.3333333333333
11001,2011-01-01,33,57.44,1,2011,73.0,335.0,468.3333333333333
11001,2011-02-01,26,59.94,2,2011,33.0,73.0,147.0
11001,2011-03-01,52,92.68,3,2011,26.0,33.0,44.0
11001,2011-04-01,36,60.839999999999996,4,2011,52.0,26.0,37.0
11001,2011-05-01,96,162.23999999999998,5,2011,36.0,52.0,38.0
11001,2011-06-01,201,251.96999999999997,6,2011,96.0,36.0,61.333333333333336
11001,2011-07-01,236,244.9,7,2011,201.0,96.0,111.0
11001,2011-08-01,319,421.42999999999995,8,2011,236.0,201.0,177.66666666666666
11001,2011-09-01,95,165.35,9,2011,319.0,236.0,252.0
11001,2011-10-01,114,218.26,10,2011,95.0,319.0,216.66666666666666
11001,2011-11-01,127,235.42999999999998,11,2011,114.0,95.0,176.0
11001,2011-12-01,22,45.18,12,2011,127.0,114.0,112.0
15030,2010-04-01,10,2.9,4,2010,10.0,15.0,11.666666666666666
15030,2010-06-01,10,2.8999999999999995,6,2010,10.0,10.0,11.666666666666666
15030,2010-07-01,23,6.67,7,2010,10.0,10.0,10.0
15030,2010-08-01,5,1.45,8,2010,23.0,10.0,14.333333333333334
15030,2010-09-01,25,7.25,9,2010,5.0,23.0,12.666666666666666
15030,2010-10-01,3,0.8699999999999999,10,2010,25.0,5.0,17.666666666666668
